country,countryLabel,capital,capitalLabel,coordinates,lon,lat
http://www.wikidata.org/entity/Q826,Maldivak,http://www.wikidata.org/entity/Q9347,Male,Point(73.508333333 4.175),73.508333333333,4.175
http://www.wikidata.org/entity/Q912,Mali,http://www.wikidata.org/entity/Q3703,Bamako,Point(-7.992222222 12.645833333),-7.9922222222222,12.645833333333
http://www.wikidata.org/entity/Q233,Malta,http://www.wikidata.org/entity/Q23800,Valletta,Point(14.5125 35.897777777),14.5125,35.897777777778
http://www.wikidata.org/entity/Q1028,Maroko,http://www.wikidata.org/entity/Q3551,Rabat,Point(-6.836111111 34.025277777),-6.8361111111111,34.025277777778
http://www.wikidata.org/entity/Q709,Marshall Uharteak,http://www.wikidata.org/entity/Q12919,Majuro,Point(171.266666666 7.066666666),171.26666666667,7.0666666666667
http://www.wikidata.org/entity/Q1025,Mauritania,http://www.wikidata.org/entity/Q3688,Nuakxot,Point(-15.974444444 18.078333333),-15.974444444444,18.078333333333
http://www.wikidata.org/entity/Q1027,Maurizio,http://www.wikidata.org/entity/Q3929,Port Louis,Point(57.5 -20.166666666),57.5,-20.166666666667
http://www.wikidata.org/entity/Q96,Mexiko,http://www.wikidata.org/entity/Q1489,Mexiko Hiria,Point(-99.145555555 19.419444444),-99.145555555556,19.419444444444
http://www.wikidata.org/entity/Q702,Mikronesia,http://www.wikidata.org/entity/Q42751,Palikir,Point(158.185 6.917777777),158.185,6.9177777777778
http://www.wikidata.org/entity/Q217,Moldavia,http://www.wikidata.org/entity/Q21197,Chisinau,Point(28.8575 47.005555555),28.8575,47.005555555556
http://www.wikidata.org/entity/Q235,Monako,http://www.wikidata.org/entity/Q55115,Monako,Point(7.424815 43.73097),7.424815,43.73097
http://www.wikidata.org/entity/Q711,Mongolia,http://www.wikidata.org/entity/Q23430,Ulan Bator,Point(106.917222222 47.920277777),106.91722222222,47.920277777778
http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica,Point(19.266111111 42.439722222),19.266111111111,42.439722222222
http://www.wikidata.org/entity/Q1029,Mozambike,http://www.wikidata.org/entity/Q3889,Maputo,Point(32.576388888 -25.915277777),32.576388888889,-25.915277777778
http://www.wikidata.org/entity/Q836,Myanmar,http://www.wikidata.org/entity/Q37400,Naypyidaw,Point(96.15833 19.80278),96.15833,19.80278
http://www.wikidata.org/entity/Q1030,Namibia,http://www.wikidata.org/entity/Q3935,Windhoek,Point(17.083611111 -22.57),17.083611111111,-22.57
http://www.wikidata.org/entity/Q697,Nauru,http://www.wikidata.org/entity/Q31026,Yaren,Point(166.920867 -0.5477),166.920867,-0.5477
http://www.wikidata.org/entity/Q837,Nepal,http://www.wikidata.org/entity/Q3037,Katmandu,Point(85.366666666 27.716666666),85.366666666667,27.716666666667
http://www.wikidata.org/entity/Q1032,Niger,http://www.wikidata.org/entity/Q3674,Niamei,Point(2.111111111 13.508611111),2.1111111111111,13.508611111111
http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q3787,Abuja,Point(7.491388888 9.055555555),7.4913888888889,9.0555555555556
http://www.wikidata.org/entity/Q811,Nikaragua,http://www.wikidata.org/entity/Q3274,Managua,Point(-86.266666666 12.15),-86.266666666667,12.15
http://www.wikidata.org/entity/Q20,Norvegia,http://www.wikidata.org/entity/Q585,Oslo,Point(10.752777777 59.911111111),10.752777777778,59.911111111111
http://www.wikidata.org/entity/Q842,Oman,http://www.wikidata.org/entity/Q3826,Maskat,Point(58.592222222 23.613888888),58.592222222222,23.613888888889
http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q1362,Islamabad,Point(73.036944444 33.698888888),73.036944444444,33.698888888889
http://www.wikidata.org/entity/Q695,Palau,http://www.wikidata.org/entity/Q515229,Ngerulmud,Point(134.624167 7.500556),134.624167,7.500556
http://www.wikidata.org/entity/Q804,Panama,http://www.wikidata.org/entity/Q3306,Panama Hiria,Point(-79.5 9.0),-79.5,9.0
http://www.wikidata.org/entity/Q691,Papua Ginea Berria,http://www.wikidata.org/entity/Q36526,Port Moresby,Point(147.149444444 -9.478888888),147.14944444444,-9.4788888888889
http://www.wikidata.org/entity/Q733,Paraguai,http://www.wikidata.org/entity/Q2933,Asuncion,Point(-57.633333333 -25.3),-57.633333333333,-25.3
http://www.wikidata.org/entity/Q419,Peru,http://www.wikidata.org/entity/Q2868,Lima,Point(-77.033333333 -12.05),-77.033333333333,-12.05
http://www.wikidata.org/entity/Q36,Polonia,http://www.wikidata.org/entity/Q270,Varsovia,Point(21.033333333 52.216666666),21.033333333333,52.216666666667
http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q597,Lisboa,Point(-9.166666666 38.716666666),-9.1666666666667,38.716666666667
http://www.wikidata.org/entity/Q846,Qatar,http://www.wikidata.org/entity/Q3861,Doha,Point(51.533333333 25.3),51.533333333333,25.3
http://www.wikidata.org/entity/Q1037,Ruanda,http://www.wikidata.org/entity/Q3859,Kigali,Point(30.060555555 -1.953611111),30.060555555556,-1.9536111111111
http://www.wikidata.org/entity/Q763,Saint Kitts eta Nevis,http://www.wikidata.org/entity/Q41295,Basseterre,Point(-62.734166666 17.298333333),-62.734166666667,17.298333333333
http://www.wikidata.org/entity/Q757,Saint Vincent eta Grenadinak,http://www.wikidata.org/entity/Q41474,Kingstown,Point(-61.233333333 13.166666666),-61.233333333333,13.166666666667
http://www.wikidata.org/entity/Q685,Salomon uharteak,http://www.wikidata.org/entity/Q40921,Honiara,Point(159.95 -9.433333),159.95,-9.433333
http://www.wikidata.org/entity/Q683,Samoa,http://www.wikidata.org/entity/Q36260,Apia,Point(-171.833333333 -13.833333333),-171.83333333333,-13.833333333333
http://www.wikidata.org/entity/Q238,San Marino,http://www.wikidata.org/entity/Q1848,San Marino,Point(12.44845 43.932011111),12.44845,43.932011111111
http://www.wikidata.org/entity/Q760,Santa Luzia,http://www.wikidata.org/entity/Q41699,Castries,Point(-60.983333333 14.016666666),-60.983333333333,14.016666666667
http://www.wikidata.org/entity/Q851,Saudi Arabia,http://www.wikidata.org/entity/Q3692,Riad,Point(46.71 24.65),46.71,24.65
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q3718,Dakar,Point(-17.457222222 14.731944444),-17.457222222222,14.731944444444
http://www.wikidata.org/entity/Q403,Serbia,http://www.wikidata.org/entity/Q3711,Belgrad,Point(20.466666666 44.816666666),20.466666666667,44.816666666667
http://www.wikidata.org/entity/Q1042,Seychelleak,http://www.wikidata.org/entity/Q3940,Victoria,Point(55.454444444 -4.623611111),55.454444444444,-4.6236111111111
http://www.wikidata.org/entity/Q1044,Sierra Leona,http://www.wikidata.org/entity/Q3780,Freetown,Point(-13.233055555 8.483333333),-13.233055555556,8.4833333333333
http://www.wikidata.org/entity/Q334,Singapur,http://www.wikidata.org/entity/Q334,Singapur,Point(103.8 1.3),103.8,1.3
http://www.wikidata.org/entity/Q858,Siria,http://www.wikidata.org/entity/Q3766,Damasko,Point(36.291944444 33.513055555),36.291944444444,33.513055555556
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q2449,Muqdisho,Point(45.3425 2.040833333),45.3425,2.0408333333333
